Timestamp,Date,Time,Kp,ap,SN,F10.7obs,F10.7adj,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max
2019-05-04 00:00:00,2019-05-04,00:00:00,2.667,12,12,72.3,73.5,1,4.35,2.24,11.02,2.11,-4.73,10.15,-1.58,-7.0,2.56,-0.6,-5.59,6.06,311.96,1.22,359.09,-11.22,-75.92,62.22,6.87,3.5,9.1,482.0,391.5,515.4,179360,55436,303319
2019-05-05 00:00:00,2019-05-05,00:00:00,1.333,5,12,73.5,74.7,1,3.46,1.62,4.2,1.86,-3.46,3.93,-1.51,-3.62,0.85,0.12,-2.17,2.98,307.01,2.79,359.07,2.03,-48.1,65.63,4.22,1.27,5.85,434.4,359.7,494.9,122091,25719,334905
2019-05-06 00:00:00,2019-05-06,00:00:00,1.667,6,16,76.0,77.3,1,4.01,2.73,5.13,1.86,-2.55,4.8,-2.31,-4.59,2.38,-0.65,-3.65,2.83,310.01,2.4,356.82,-9.22,-58.66,66.19,4.46,2.11,7.36,374.0,322.5,392.8,43075,12791,75843
2019-05-07 00:00:00,2019-05-07,00:00:00,2.0,7,26,78.7,80.1,1,3.73,1.28,4.7,2.13,-1.02,3.94,-0.7,-4.21,3.02,-0.54,-3.74,3.16,342.98,1.42,357.42,-12.48,-74.22,53.41,4.7,2.37,11.02,351.9,327.4,382.2,29746,11704,55111
2019-05-08 00:00:00,2019-05-08,00:00:00,1.0,4,25,75.3,76.8,1,2.62,0.86,3.37,2.18,0.59,3.09,-0.03,-1.08,1.52,1.09,-0.31,1.87,0.47,0.24,359.78,28.47,-8.41,54.93,9.84,8.17,16.65,326.4,307.4,341.5,12476,7815,16210
2019-05-09 00:00:00,2019-05-09,00:00:00,2.333,9,26,76.2,77.7,1,4.16,1.04,7.85,1.66,-4.09,4.48,-1.14,-6.66,4.09,-0.13,-5.57,6.52,322.96,1.75,357.92,-1.77,-60.68,58.65,9.37,4.77,21.64,364.3,304.3,390.8,61257,11286,97191
2019-05-10 00:00:00,2019-05-10,00:00:00,3.0,15,26,76.3,77.8,1,3.94,2.91,10.85,2.41,-0.6,8.94,-2.62,-9.04,-0.12,-1.8,-8.24,2.72,311.78,253.98,354.64,-24.39,-71.34,28.73,5.17,3.33,18.84,356.3,327.3,386.1,45987,23802,72039
2019-05-11 00:00:00,2019-05-11,00:00:00,5.0,48,27,78.0,79.5,1,9.21,6.88,12.26,2.95,-1.12,6.01,2.94,-11.29,7.32,-6.33,-11.18,3.3,27.19,2.75,350.85,-46.82,-73.1,25.25,2.8,0.33,22.04,351.4,330.7,463.5,11262,5000,51252
2019-05-12 00:00:00,2019-05-12,00:00:00,1.667,6,26,76.0,77.6,1,6.87,5.96,8.2,5.99,0.86,7.34,0.99,-6.34,5.88,-2.04,-4.98,3.77,11.13,0.32,359.62,-16.62,-49.91,35.7,1.08,0.18,3.28,332.3,318.3,417.1,14404,5000,140398
2019-05-13 00:00:00,2019-05-13,00:00:00,2.667,12,24,74.7,76.2,1,7.77,3.84,11.33,4.13,-6.69,8.0,-1.82,-7.0,8.6,-1.49,-8.73,5.5,357.64,1.5,357.46,-10.96,-81.69,62.49,5.95,2.92,18.18,346.8,309.4,469.7,45773,10236,324871
2019-05-14 00:00:00,2019-05-14,00:00:00,6.333,94,24,74.4,76.0,1,8.73,4.68,15.01,3.81,-3.43,9.82,-0.9,-11.33,10.06,-0.84,-14.5,6.96,345.34,15.66,340.94,-5.8,-84.78,31.88,6.97,5.13,28.31,515.1,459.9,567.7,125336,5029,467256
