Date,Time,Datetime,Source,Bt-med,Bt-min,Bt-max,Bx-med,Bx-min,Bx-max,By-med,By-min,By-max,Bz-med,Bz-min,Bz-max,Phi-mean,Phi-min,Phi-max,Theta-med,Theta-min,Theta-max,Dens-med,Dens-min,Dens-max,Speed-med,Speed-min,Speed-max,Temp-med,Temp-min,Temp-max,SN,F10.7obs,F10.7adj,ap_value,Kp_value
2023-08-17,00:00:00,2023-08-17 00:00:00,1,7.89,7.21,8.66,-0.52,-3.56,0.57,7.14,6.02,7.69,1.99,-4.0,3.79,99.37,84.08,116.53,15.34,-29.74,28.41,9.68,7.61,11.18,304.7,303.7,315.4,16786,12124,19425,146.0,151.9,155.7,9,2.333
2023-08-17,01:00:00,2023-08-17 01:00:00,1,7.44,6.78,8.34,-2.78,-3.86,-0.63,6.98,5.63,7.26,-1.83,-3.55,2.44,111.05,94.43,121.58,-13.76,-25.51,20.17,11.2,8.5,13.24,313.1,311.4,316.8,12555,10256,16625,146.0,151.9,155.7,9,2.333
2023-08-17,02:00:00,2023-08-17 02:00:00,1,5.86,5.41,7.0,-1.94,-3.24,-0.14,5.28,4.35,6.03,-1.88,-3.12,0.75,110.07,71.24,120.75,-18.07,-31.37,7.83,13.02,8.87,13.75,314.2,307.2,322.6,17006,14398,27957,146.0,151.9,155.7,0,1.0
2023-08-17,03:00:00,2023-08-17 03:00:00,1,6.4,4.4,7.56,-0.84,-4.08,3.91,5.01,2.13,6.65,-0.14,-3.6,5.74,87.88,33.67,126.37,-1.53,-34.09,52.59,7.6,6.12,9.7,314.3,298.8,317.2,28372,20008,40698,146.0,151.9,155.7,6,1.667
2023-08-17,04:00:00,2023-08-17 04:00:00,1,7.24,5.17,7.67,-1.8,-2.7,-1.09,6.36,4.34,7.31,-2.52,-4.5,-1.64,105.96,96.69,116.28,-20.85,-38.38,-12.49,6.49,5.58,7.61,318.7,313.6,326.3,20563,16439,25790,146.0,151.9,155.7,6,1.667
2023-08-17,05:00:00,2023-08-17 05:00:00,1,7.34,6.79,7.7,-1.76,-2.54,-1.14,6.69,5.85,7.26,-2.46,-3.08,-1.18,104.74,97.14,110.96,-19.9,-25.76,-9.37,6.4,5.44,7.64,314.2,307.5,320.7,22710,16495,30251,146.0,151.9,155.7,0,1.0
2023-08-17,06:00:00,2023-08-17 06:00:00,1,7.76,6.52,8.34,-0.54,-2.05,0.62,6.6,5.57,8.22,2.08,-2.67,5.38,93.46,84.3,105.83,16.9,-23.78,42.43,3.78,1.61,6.37,318.9,305.5,461.6,38062,16817,230503,146.0,151.9,155.7,7,2.0
2023-08-17,07:00:00,2023-08-17 07:00:00,1,8.37,7.86,8.84,-0.25,-2.12,0.51,7.15,5.45,8.28,4.01,2.28,5.6,92.68,85.72,107.74,29.14,16.47,42.28,3.55,0.68,5.92,458.8,433.8,466.8,203776,45291,284519,146.0,151.9,155.7,7,2.0
2023-08-17,08:00:00,2023-08-17 08:00:00,1,8.02,7.54,8.43,-0.27,-3.83,0.27,7.55,4.05,7.8,2.32,1.58,6.09,93.56,87.77,130.42,17.34,12.12,47.93,1.11,0.55,2.31,444.0,431.8,479.7,65021,16758,227240,146.0,151.9,155.7,0,1.0
2023-08-17,09:00:00,2023-08-17 09:00:00,1,7.37,7.19,7.63,-0.73,-2.0,0.29,7.2,6.67,7.46,1.47,0.06,2.41,95.73,87.37,105.53,11.54,0.46,19.04,1.33,0.4,5.26,455.1,432.1,475.3,82255,33307,256850,146.0,151.9,155.7,2,0.333
